,date,quarter,department,week_day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity,day,month
0,2015-01-01,1,sweing,Thursday,8,0.8,26.16,1108.0,7080,98,0.0,0,0,59.0,0.940725424,1,1
1,2015-01-01,1,finishing,Thursday,1,0.75,3.94,0.0,960,0,0.0,0,0,8.0,0.8865,1,1
2,2015-01-01,1,sweing,Thursday,11,0.8,11.41,968.0,3660,50,0.0,0,0,30.5,0.800570492,1,1
3,2015-01-01,1,sweing,Thursday,12,0.8,11.41,968.0,3660,50,0.0,0,0,30.5,0.800570492,1,1
4,2015-01-01,1,sweing,Thursday,6,0.8,25.9,1170.0,1920,50,0.0,0,0,56.0,0.800381944,1,1
5,2015-01-01,1,sweing,Thursday,7,0.8,25.9,984.0,6720,38,0.0,0,0,56.0,0.800125,1,1
6,2015-01-01,1,finishing,Thursday,2,0.75,3.94,0.0,960,0,0.0,0,0,8.0,0.755166667,1,1
7,2015-01-01,1,sweing,Thursday,3,0.75,28.08,795.0,6900,45,0.0,0,0,57.5,0.753683478,1,1
8,2015-01-01,1,sweing,Thursday,2,0.75,19.87,733.0,6000,34,0.0,0,0,55.0,0.753097531,1,1
9,2015-01-01,1,sweing,Thursday,1,0.75,28.08,681.0,6900,45,0.0,0,0,57.5,0.750427826,1,1
10,2015-01-01,1,sweing,Thursday,9,0.7,28.08,872.0,6900,44,0.0,0,0,57.5,0.721126957,1,1
11,2015-01-01,1,sweing,Thursday,10,0.75,19.31,578.0,6480,45,0.0,0,0,54.0,0.712205247,1,1
12,2015-01-01,1,sweing,Thursday,5,0.8,11.41,668.0,3660,50,0.0,0,0,30.5,0.707045902,1,1
13,2015-01-01,1,finishing,Thursday,10,0.65,3.94,0.0,960,0,0.0,0,0,8.0,0.705916667,1,1
14,2015-01-01,1,finishing,Thursday,8,0.75,2.9,0.0,960,0,0.0,0,0,8.0,0.676666667,1,1
15,2015-01-01,1,finishing,Thursday,4,0.75,3.94,0.0,2160,0,0.0,0,0,18.0,0.593055556,1,1
16,2015-01-01,1,finishing,Thursday,7,0.8,2.9,0.0,960,0,0.0,0,0,8.0,0.540729167,1,1
17,2015-01-01,1,sweing,Thursday,4,0.65,23.69,861.0,7200,0,0.0,0,0,60.0,0.52118,1,1
18,2015-01-01,1,finishing,Thursday,11,0.7,4.15,0.0,1440,0,0.0,0,0,12.0,0.436326389,1,1
19,2015-01-03,1,finishing,Saturday,4,0.8,4.15,0.0,6600,0,0.0,0,0,20.0,0.988024691,3,1
20,2015-01-03,1,finishing,Saturday,11,0.75,2.9,0.0,5640,0,0.0,0,0,17.0,0.987880435,3,1
